"","word","absolute.frequency","relative.frequency"
"1","now",652,0.267871815940838
"2","will",623,0.255957271980279
"3","one",589,0.241988496302383
"4","said",574,0.23582580115037
"5","look",463,0.190221857025472
"6","like",452,0.185702547247329
"7","rochest",365,0.149958915365653
"8","littl",342,0.1405094494659
"9","well",321,0.131881676253081
"10","jane",320,0.131470829909614
"11","miss",318,0.130649137222679
"12","must",307,0.126129827444536
"13","thought",301,0.12366474938373
"14","see",300,0.123253903040263
"15","sir",297,0.12202136400986
"16","eye",295,0.121199671322925
"17","never",284,0.116680361544782
"18","come",277,0.113804437140509
"19","day",274,0.112571898110107
"20","seem",270,0.110928512736237
"21","hand",263,0.108052588331964
"22","long",262,0.107641741988496
"23","time",251,0.103122432210353
"24","still",251,0.103122432210353
"25","mrs",250,0.102711585866886
"26","say",245,0.100657354149548
"27","know",245,0.100657354149548
"28","think",245,0.100657354149548
"29","yet",240,0.0986031224322104
"30","shall",238,0.0977814297452753
"31","can",229,0.0940838126540674
"32","ask",225,0.0924404272801972
"33","good",212,0.0870994248151191
"34","even",208,0.085456039441249
"35","love",208,0.085456039441249
"36","room",205,0.0842235004108463
"37","feel",204,0.0838126540673788
"38","face",203,0.0834018077239113
"39","wish",202,0.0829909613804437
"40","much",201,0.0825801150369762
"41","john",196,0.0805258833196385
"42","two",196,0.0805258833196385
"43","take",186,0.076417419884963
"44","saw",186,0.076417419884963
"45","heard",180,0.0739523418241578
"46","turn",180,0.0739523418241578
"47","word",180,0.0739523418241578
"48","first",179,0.0735414954806902
"49","make",179,0.0735414954806902
"50","answer",178,0.0731306491372227
"51","last",176,0.0723089564502876
"52","door",175,0.0718981101068201
"53","came",173,0.071076417419885
"54","heart",172,0.0706655710764174
"55","yes",172,0.0706655710764174
"56","hous",171,0.0702547247329499
"57","pass",166,0.0682004930156122
"58","quit",164,0.0673788003286771
"59","ladi",164,0.0673788003286771
"60","made",161,0.0661462612982744
"61","felt",161,0.0661462612982744
"62","tell",160,0.0657354149548069
"63","just",159,0.0653245686113394
"64","might",159,0.0653245686113394
"65","put",158,0.0649137222678718
"66","ever",156,0.0640920295809367
"67","want",156,0.0640920295809367
"68","noth",155,0.0636811832374692
"69","live",155,0.0636811832374692
"70","soon",152,0.0624486442070666
"71","night",152,0.0624486442070666
"72","near",151,0.062037797863599
"73","open",151,0.062037797863599
"74","dont",150,0.0616269515201315
"75","way",150,0.0616269515201315
"76","life",149,0.0612161051766639
"77","hour",146,0.0599835661462613
"78","away",144,0.0591618734593262
"79","went",144,0.0591618734593262
"80","return",142,0.0583401807723911
"81","man",142,0.0583401807723911
"82","left",141,0.0579293344289236
"83","leav",141,0.0579293344289236
"84","give",140,0.057518488085456
"85","may",140,0.057518488085456
"86","thing",139,0.0571076417419885
"87","without",138,0.056696795398521
"88","place",137,0.0562859490550534
"89","head",136,0.0558751027115859
"90","fairfax",136,0.0558751027115859
"91","call",133,0.0546425636811832
"92","though",133,0.0546425636811832
"93","reed",132,0.0542317173377157
"94","someth",132,0.0542317173377157
"95","natur",130,0.0534100246507806
"96","back",130,0.0534100246507806
"97","adel",130,0.0534100246507806
"98","bessi",129,0.0529991783073131
