"","word","absolute.frequency","relative.frequency"
"1","heathcliff",467,0.261624649859944
"2","linton",410,0.2296918767507
"3","catherin",377,0.211204481792717
"4","said",368,0.206162464985994
"5","one",285,0.159663865546218
"6","come",257,0.143977591036415
"7","will",249,0.139495798319328
"8","ill",237,0.132773109243697
"9","look",225,0.126050420168067
"10","now",224,0.125490196078431
"11","answer",208,0.116526610644258
"12","master",206,0.115406162464986
"13","shall",193,0.10812324929972
"14","see",192,0.107563025210084
"15","must",184,0.103081232492997
"16","like",180,0.100840336134454
"17","never",179,0.100280112044818
"18","littl",178,0.0997198879551821
"19","dont",175,0.0980392156862745
"20","hareton",174,0.0974789915966387
"21","cri",166,0.0929971988795518
"22","hand",158,0.088515406162465
"23","time",151,0.084593837535014
"24","say",148,0.0829131652661064
"25","till",148,0.0829131652661064
"26","ask",146,0.0817927170868347
"27","let",144,0.080672268907563
"28","door",142,0.0795518207282913
"29","take",141,0.0789915966386555
"30","know",139,0.0778711484593838
"31","make",139,0.0778711484593838
"32","well",139,0.0778711484593838
"33","get",139,0.0778711484593838
"34","eye",137,0.076750700280112
"35","joseph",137,0.076750700280112
"36","think",134,0.0750700280112045
"37","can",133,0.0745098039215686
"38","mrs",133,0.0745098039215686
"39","earnshaw",132,0.0739495798319328
"40","tell",132,0.0739495798319328
"41","thought",131,0.0733893557422969
"42","hous",131,0.0733893557422969
"43","might",130,0.0728291316526611
"44","love",130,0.0728291316526611
"45","miss",129,0.0722689075630252
"46","repli",128,0.0717086834733894
"47","wish",126,0.0705882352941176
"48","father",122,0.0683473389355742
"49","though",121,0.0677871148459384
"50","cathi",121,0.0677871148459384
"51","turn",119,0.0666666666666667
"52","day",119,0.0666666666666667
"53","edgar",116,0.0649859943977591
"54","back",115,0.0644257703081232
"55","return",112,0.0627450980392157
"56","even",112,0.0627450980392157
"57","face",112,0.0627450980392157
"58","may",109,0.0610644257703081
"59","noth",109,0.0610644257703081
"60","last",108,0.0605042016806723
"61","two",107,0.0599439775910364
"62","young",107,0.0599439775910364
"63","first",106,0.0593837535014006
"64","came",105,0.0588235294117647
"65","yet",103,0.057703081232493
"66","long",102,0.0571428571428571
"67","height",101,0.0565826330532213
"68","put",100,0.0560224089635854
"69","made",100,0.0560224089635854
"70","hes",99,0.0554621848739496
"71","still",98,0.0549019607843137
"72","good",98,0.0549019607843137
"73","much",97,0.0543417366946779
"74","ellen",97,0.0543417366946779
"75","seem",96,0.053781512605042
"76","took",96,0.053781512605042
"77","head",95,0.0532212885154062
"78","home",94,0.0526610644257703
"79","room",94,0.0526610644257703
"80","ive",94,0.0526610644257703
"81","open",93,0.0521008403361345
"82","call",91,0.0509803921568627
"83","word",91,0.0509803921568627
"84","continu",91,0.0509803921568627
"85","man",90,0.0504201680672269
"86","live",90,0.0504201680672269
"87","want",90,0.0504201680672269
"88","thing",90,0.0504201680672269
"89","leav",89,0.049859943977591
"90","went",88,0.0492997198879552
"91","night",87,0.0487394957983193
"92","grang",86,0.0481792717086835
"93","walk",86,0.0481792717086835
"94","hear",86,0.0481792717086835
"95","way",85,0.0476190476190476
"96","anoth",85,0.0476190476190476
"97","away",85,0.0476190476190476
"98","place",84,0.0470588235294118
"99","nelli",84,0.0470588235294118
"100","keep",82,0.0459383753501401
"101","heart",81,0.0453781512605042
"102","old",81,0.0453781512605042
"103","everi",80,0.0448179271708683
"104","better",80,0.0448179271708683
"105","hour",80,0.0448179271708683
"106","give",80,0.0448179271708683
"107","heard",79,0.0442577030812325
"108","hell",79,0.0442577030812325
"109","told",79,0.0442577030812325
"110","youll",79,0.0442577030812325
"111","got",79,0.0442577030812325
"112","quit",79,0.0442577030812325
"113","hindley",79,0.0442577030812325
"114","mind",78,0.0436974789915966
"115","exclaim",78,0.0436974789915966
"116","saw",77,0.0431372549019608
"117","sit",77,0.0431372549019608
"118","feel",76,0.0425770308123249
"119","just",75,0.0420168067226891
"120","wont",75,0.0420168067226891
"121","rather",74,0.0414565826330532
"122","near",74,0.0414565826330532
"123","talk",74,0.0414565826330532
"124","speak",74,0.0414565826330532
"125","hard",73,0.0408963585434174
"126","papa",73,0.0408963585434174
"127","began",72,0.0403361344537815
"128","stay",72,0.0403361344537815
"129","soon",71,0.0397759103641457
"130","left",71,0.0397759103641457
"131","great",71,0.0397759103641457
"132","present",70,0.0392156862745098
"133","fire",70,0.0392156862745098
"134","enter",69,0.038655462184874
"135","ladi",69,0.038655462184874
"136","set",68,0.0380952380952381
"137","ever",67,0.0375350140056022
"138","laugh",67,0.0375350140056022
"139","cousin",67,0.0375350140056022
"140","minut",66,0.0369747899159664
"141","die",66,0.0369747899159664
"142","window",65,0.0364145658263305
"143","howev",65,0.0364145658263305
"144","round",64,0.0358543417366947
"145","remain",63,0.0352941176470588
"146","half",63,0.0352941176470588
"147","fear",63,0.0352941176470588
"148","care",63,0.0352941176470588
"149","felt",62,0.034733893557423
"150","whole",62,0.034733893557423
"151","sinc",62,0.034733893557423
"152","done",62,0.034733893557423
"153","bed",62,0.034733893557423
"154","wuther",61,0.0341736694677871
"155","without",61,0.0341736694677871
"156","tri",61,0.0341736694677871
"157","isabella",61,0.0341736694677871
"158","hope",60,0.0336134453781513
"159","appear",60,0.0336134453781513
"160","kitchen",60,0.0336134453781513
"161","hate",60,0.0336134453781513
"162","alon",60,0.0336134453781513
"163","arm",60,0.0336134453781513
"164","kind",60,0.0336134453781513
"165","show",60,0.0336134453781513
"166","year",60,0.0336134453781513
"167","book",58,0.0324929971988796
"168","morn",58,0.0324929971988796
"169","suppos",57,0.0319327731092437
"170","side",57,0.0319327731092437
"171","follow",57,0.0319327731092437
"172","pleas",57,0.0319327731092437
"173","sure",57,0.0319327731092437
"174","child",56,0.0313725490196078
"175","enough",56,0.0313725490196078
"176","poor",55,0.030812324929972
"177","servant",55,0.030812324929972
"178","whether",55,0.030812324929972
"179","friend",55,0.030812324929972
"180","right",54,0.0302521008403361
"181","run",54,0.0302521008403361
"182","mine",54,0.0302521008403361
"183","life",54,0.0302521008403361
"184","desir",53,0.0296918767507003
"185","light",53,0.0296918767507003
"186","sat",53,0.0296918767507003
"187","repeat",53,0.0296918767507003
"188","read",53,0.0296918767507003
"189","visit",52,0.0291316526610644
"190","express",52,0.0291316526610644
"191","three",52,0.0291316526610644
"192","use",52,0.0291316526610644
"193","mean",52,0.0291316526610644
"194","direct",52,0.0291316526610644
"195","didnt",52,0.0291316526610644
"196","pass",51,0.0285714285714286
"197","observ",51,0.0285714285714286
"198","part",51,0.0285714285714286
"199","gone",51,0.0285714285714286
"200","alway",51,0.0285714285714286
"201","yes",51,0.0285714285714286
"202","close",50,0.0280112044817927
"203","seat",50,0.0280112044817927
"204","bear",50,0.0280112044817927
"205","someth",50,0.0280112044817927
"206","hold",50,0.0280112044817927
"207","step",49,0.0274509803921569
"208","found",49,0.0274509803921569
"209","next",49,0.0274509803921569
"210","cant",49,0.0274509803921569
"211","dean",49,0.0274509803921569
"212","brought",48,0.026890756302521
"213","lie",48,0.026890756302521
"214","companion",48,0.026890756302521
"215","mistress",48,0.026890756302521
"216","chair",47,0.0263305322128852
"217","wait",47,0.0263305322128852
"218","reach",47,0.0263305322128852
"219","wouldnt",47,0.0263305322128852
"220","els",47,0.0263305322128852
"221","certain",46,0.0257703081232493
"222","believ",46,0.0257703081232493
"223","almost",46,0.0257703081232493
"224","gave",46,0.0257703081232493
"225","person",46,0.0257703081232493
"226","rais",46,0.0257703081232493
"227","bid",46,0.0257703081232493
"228","world",46,0.0257703081232493
"229","bad",46,0.0257703081232493
"230","watch",46,0.0257703081232493
"231","troubl",45,0.0252100840336134
"232","lad",45,0.0252100840336134
"233","rest",45,0.0252100840336134
"234","toward",44,0.0246498599439776
"235","name",44,0.0246498599439776
"236","perhap",44,0.0246498599439776
"237","among",44,0.0246498599439776
"238","spirit",44,0.0246498599439776
"239","far",44,0.0246498599439776
"240","death",44,0.0246498599439776
"241","lay",43,0.0240896358543417
"242","tabl",43,0.0240896358543417
"243","also",43,0.0240896358543417
