"","word","JE.freq","JE.prop","WH.freq","WH.prop","dProp","dAbs"
"1","now",652,0.267871815940838,224,0.125490196078431,0.142381619862407,0.142381619862407
"2","will",623,0.255957271980279,249,0.139495798319328,0.116461473660952,0.116461473660952
"3","sir",297,0.12202136400986,41,0.02296918767507,0.0990521763347903,0.0990521763347903
"4","ill",91,0.0373870172555464,237,0.132773109243697,-0.0953860919881511,0.0953860919881511
"5","like",452,0.185702547247329,180,0.100840336134454,0.0848622111128757,0.0848622111128757
"6","one",589,0.241988496302383,285,0.159663865546218,0.0823246307561644,0.0823246307561644
"7","master",100,0.0410846343467543,206,0.115406162464986,-0.0743215281182317,0.0743215281182317
"8","look",463,0.190221857025472,225,0.126050420168067,0.0641714368574053,0.0641714368574053
"9","miss",318,0.130649137222679,129,0.0722689075630252,0.0583802296596535,0.0583802296596535
"10","cri",85,0.0349219391947412,166,0.0929971988795518,-0.0580752596848107,0.0580752596848107
"11","seem",270,0.110928512736237,96,0.053781512605042,0.0571470001311946,0.0571470001311946
"12","well",321,0.131881676253081,139,0.0778711484593838,0.0540105277936976,0.0540105277936976
"13","height",7,0.0028759244042728,101,0.0565826330532213,-0.0537067086489485,0.0537067086489485
"14","long",262,0.107641741988496,102,0.0571428571428571,0.0504988848456392,0.0504988848456392
"15","thought",301,0.12366474938373,131,0.0733893557422969,0.0502753936414336,0.0502753936414336
"16","still",251,0.103122432210353,98,0.0549019607843137,0.0482204714260396,0.0482204714260396
"17","ive",14,0.0057518488085456,94,0.0526610644257703,-0.0469092156172247,0.0469092156172247
"18","day",274,0.112571898110107,119,0.0666666666666667,0.0459052314434402,0.0459052314434402
"19","father",57,0.02341824157765,122,0.0683473389355742,-0.0449290973579243,0.0449290973579243
"20","eye",295,0.121199671322925,137,0.076750700280112,0.0444489710428132,0.0444489710428132
"21","answer",178,0.0731306491372227,208,0.116526610644258,-0.043395961507035,0.043395961507035
"22","repli",69,0.0283483976992605,128,0.0717086834733894,-0.0433602857741289,0.0433602857741289
"23","yes",172,0.0706655710764174,51,0.0285714285714286,0.0420941425049889,0.0420941425049889
"24","feel",204,0.0838126540673788,76,0.0425770308123249,0.0412356232550539,0.0412356232550539
"25","youll",8,0.00328677074774034,79,0.0442577030812325,-0.0409709323334922,0.0409709323334922
"26","yet",240,0.0986031224322104,103,0.057703081232493,0.0409000411997174,0.0409000411997174
"27","littl",342,0.1405094494659,178,0.0997198879551821,0.0407895615107177,0.0407895615107177
"28","hell",10,0.00410846343467543,79,0.0442577030812325,-0.0401492396465571,0.0401492396465571
"29","pass",166,0.0682004930156122,51,0.0285714285714286,0.0396290644441836,0.0396290644441836
"30","till",111,0.0456039441248973,148,0.0829131652661064,-0.0373092211412092,0.0373092211412092
"31","papa",9,0.00369761709120789,73,0.0408963585434174,-0.0371987414522095,0.0371987414522095
"32","dont",150,0.0616269515201315,175,0.0980392156862745,-0.036412264166143,0.036412264166143
"33","natur",130,0.0534100246507806,32,0.0179271708683473,0.0354828537824333,0.0354828537824333
"34","wont",19,0.00780608052588332,75,0.0420168067226891,-0.0342107261968058,0.0342107261968058
"35","saw",186,0.076417419884963,77,0.0431372549019608,0.0332801649830022,0.0332801649830022
"36","girl",113,0.0464256368118324,24,0.0134453781512605,0.0329802586605719,0.0329802586605719
"37","good",212,0.0870994248151191,98,0.0549019607843137,0.0321974640308054,0.0321974640308054
